date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:41:19	4291/4291	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2015%20Apr%202022%2008:41:20%20GMT	https://cosmicdrifts.tech/robots.txt		(from )
11:41:19	549577/549577	---M--	200	added ('OK')	text/html	date:Fri,%2015%20Apr%202022%2008:41:21%20GMT	https://cosmicdrifts.tech/	C:/Benim%20Web%20Sitem/deneme/cosmicdrifts.tech/index.html	(from )
11:41:20	15406/15406	---M--	200	added ('OK')	image/vnd.microsoft.icon	date:Fri,%2015%20Apr%202022%2008:41:22%20GMT	https://cosmicdrifts.tech/favicons/favicon.ico	C:/Benim%20Web%20Sitem/deneme/cosmicdrifts.tech/favicons/favicon.ico	(from https://cosmicdrifts.tech/)
11:41:21	4291/4291	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2015%20Apr%202022%2008:41:22%20GMT	https://cosmicdrifts.tech/favicons/apple-touch-icon.png	C:/Benim%20Web%20Sitem/deneme/cosmicdrifts.tech/favicons/apple-touch-icon.1.delayed	(from https://cosmicdrifts.tech/)
11:41:21	4291/4291	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2015%20Apr%202022%2008:41:23%20GMT	https://cosmicdrifts.tech/favicons/android-chrome-192x192.png	C:/Benim%20Web%20Sitem/deneme/cosmicdrifts.tech/favicons/android-chrome-192x192.2.delayed	(from https://cosmicdrifts.tech/)
11:41:22	4291/4291	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2015%20Apr%202022%2008:41:24%20GMT	https://cosmicdrifts.tech/favicons/android-chrome-512x512.png	C:/Benim%20Web%20Sitem/deneme/cosmicdrifts.tech/favicons/android-chrome-512x512.3.delayed	(from https://cosmicdrifts.tech/)
11:41:23	4291/4291	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2015%20Apr%202022%2008:41:24%20GMT	https://cosmicdrifts.tech/favicons/favicon-32x32.png	C:/Benim%20Web%20Sitem/deneme/cosmicdrifts.tech/favicons/favicon-32x32.4.delayed	(from https://cosmicdrifts.tech/)
11:41:23	4291/4291	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2015%20Apr%202022%2008:41:25%20GMT	https://cosmicdrifts.tech/favicons/favicon-16x16.png	C:/Benim%20Web%20Sitem/deneme/cosmicdrifts.tech/favicons/favicon-16x16.5.delayed	(from https://cosmicdrifts.tech/)
11:41:25	755035/755035	---M--	200	added ('OK')	image/png	etag:%22a6d1871dbca0c26532b1e3f54189a267%22	https://cdn.discordapp.com/attachments/953654475518791682/959720215887904818/unknown.png	C:/Benim%20Web%20Sitem/deneme/cdn.discordapp.com/attachments/953654475518791682/959720215887904818/unknown.png	(from https://cosmicdrifts.tech/)
11:41:26	6087/6087	---M--	200	added ('OK')	text/css	date:Fri,%2015%20Apr%202022%2008:41:27%20GMT	https://cosmicdrifts.tech/_next/static/css/14fd3a558ecf1f185c60.css	C:/Benim%20Web%20Sitem/deneme/cosmicdrifts.tech/_next/static/css/14fd3a558ecf1f185c60.css	(from https://cosmicdrifts.tech/)
11:41:26	4291/4291	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2015%20Apr%202022%2008:41:28%20GMT	https://cosmicdrifts.tech/_next/static/chunks/polyfills-a40ef1678bae11e696dba45124eadd70.js	C:/Benim%20Web%20Sitem/deneme/cosmicdrifts.tech/_next/static/chunks/polyfills-a40ef1678bae11e696dba45124eadd70.8.delayed	(from https://cosmicdrifts.tech/)
11:41:27	8126/8126	---M--	200	added ('OK')	text/javascript	date:Fri,%2015%20Apr%202022%2008:41:29%20GMT	https://cosmicdrifts.tech/_next/static/chunks/webpack-db10e363c4f57f9f0a25.js	C:/Benim%20Web%20Sitem/deneme/cosmicdrifts.tech/_next/static/chunks/webpack-db10e363c4f57f9f0a25.js	(from https://cosmicdrifts.tech/)
11:41:28	284106/284106	---M--	200	added ('OK')	text/javascript	date:Fri,%2015%20Apr%202022%2008:41:29%20GMT	https://cosmicdrifts.tech/_next/static/chunks/framework-252749a82e0eed55204d.js	C:/Benim%20Web%20Sitem/deneme/cosmicdrifts.tech/_next/static/chunks/framework-252749a82e0eed55204d.js	(from https://cosmicdrifts.tech/)
11:41:29	180466/180466	---M--	200	added ('OK')	text/javascript	date:Fri,%2015%20Apr%202022%2008:41:30%20GMT	https://cosmicdrifts.tech/_next/static/chunks/main-ac50f1ddf6ff503fee73.js	C:/Benim%20Web%20Sitem/deneme/cosmicdrifts.tech/_next/static/chunks/main-ac50f1ddf6ff503fee73.js	(from https://cosmicdrifts.tech/)
